Date,Open,High,Low,Close,Volume,Adj Close
2013-11-22,56.26,56.50,55.89,56.41,2890800,56.41
2013-11-21,56.28,56.59,55.86,56.23,2461200,56.23
2013-11-20,55.98,56.32,55.80,55.94,2931300,55.94
2013-11-19,56.73,56.73,55.65,55.77,3385700,55.77
2013-11-18,57.45,57.49,56.40,56.60,3173600,56.60
2013-11-15,57.54,57.59,56.78,57.35,2909900,57.35
2013-11-14,57.56,57.99,56.91,57.17,4571300,57.17
2013-11-13,55.59,57.59,55.59,57.55,5168600,57.55
2013-11-12,55.84,56.34,55.60,56.24,2929200,56.24
2013-11-11,54.85,56.18,54.49,56.18,4221800,56.18
2013-11-08,53.42,54.93,53.33,54.84,5940900,54.84
2013-11-07,55.05,55.17,53.10,53.17,5526600,53.17
2013-11-06,54.90,55.11,54.54,54.88,3243300,54.88
2013-11-05,55.24,55.28,54.67,54.79,3616600,54.79
2013-11-04,55.01,55.42,54.66,55.39,3433600,55.39
2013-11-01,54.61,54.68,54.14,54.61,2720000,54.61
2013-10-31,54.01,54.56,53.90,54.22,3509500,54.22
2013-10-30,54.87,55.07,53.69,54.10,3482400,54.10
2013-10-29,54.00,55.12,53.91,54.86,5148300,54.86
2013-10-28,53.91,54.37,53.59,53.93,3505000,53.93
2013-10-25,54.07,54.20,53.46,53.81,6186100,53.81
2013-10-24,53.06,54.58,53.05,54.21,5717200,54.21
2013-10-23,52.75,53.45,52.16,53.06,4386800,53.06
2013-10-22,53.47,53.57,52.99,53.17,4375700,53.17
2013-10-21,52.73,53.27,52.71,53.08,3739700,53.08
2013-10-18,52.15,52.78,52.00,52.63,4210100,52.63
2013-10-17,51.87,52.31,51.70,52.07,3776600,52.07
2013-10-16,51.54,52.58,51.54,51.91,3367700,51.91
2013-10-15,52.31,52.78,51.81,51.93,3658800,51.93
2013-10-14,51.90,52.83,51.72,52.63,4910000,52.63
2013-10-11,50.82,52.22,50.82,52.19,3410500,52.19
2013-10-10,50.06,51.22,49.86,51.17,3740900,51.17
2013-10-09,49.62,49.87,48.87,49.45,4347300,49.45
2013-10-08,50.93,50.97,49.44,49.58,4953800,49.58
2013-10-07,51.05,51.34,50.79,50.82,2582700,50.82
2013-10-04,50.09,51.67,50.02,51.57,3880900,51.57
2013-10-03,51.61,51.65,50.54,50.88,3862200,50.88
2013-10-02,51.79,52.28,51.29,51.52,3691200,51.52
2013-10-01,52.10,52.48,51.84,52.43,3243300,52.43
2013-09-30,51.50,52.15,51.20,51.94,2747000,51.94
2013-09-27,51.71,52.48,51.65,52.03,2382000,52.03
2013-09-26,52.00,52.38,51.81,52.10,2902900,52.10
2013-09-25,51.48,52.08,51.42,51.87,4009400,51.87
2013-09-24,51.79,51.88,51.07,51.42,3103300,51.42
2013-09-23,52.07,52.47,51.62,51.80,3183400,51.80
2013-09-20,51.87,52.96,51.68,52.31,12323000,52.31
2013-09-19,52.05,52.40,51.58,51.87,7183400,51.87
2013-09-18,51.68,52.67,51.06,52.58,15267900,52.58
2013-09-17,48.19,48.49,47.92,48.14,6917200,48.14
2013-09-16,48.17,48.70,47.97,48.14,4474800,48.14
2013-09-13,47.66,47.96,47.64,47.76,2571600,47.76
2013-09-12,48.07,48.09,47.56,47.64,3024100,47.64
2013-09-11,48.00,48.33,47.95,48.20,2650200,48.20
2013-09-10,47.62,48.06,47.51,48.02,2831100,48.02
2013-09-09,47.11,47.27,46.99,47.25,1931700,47.25
2013-09-06,46.89,47.30,46.26,46.87,3140900,46.87
2013-09-05,46.88,47.34,46.68,46.73,2379800,46.73
2013-09-04,45.76,47.17,45.76,46.93,5402200,46.93
2013-09-03,46.21,46.57,45.70,45.88,1955500,45.88
2013-08-30,45.88,46.11,45.57,45.75,2211500,45.75
2013-08-29,45.50,46.14,45.35,45.93,1738900,45.93
2013-08-28,45.58,45.91,45.49,45.53,1971500,45.53
2013-08-27,45.55,45.88,45.27,45.50,2287600,45.50
2013-08-26,46.25,46.61,46.01,46.06,2590500,46.06
2013-08-23,45.85,45.88,45.41,45.77,2410900,45.77
