Date,Open,High,Low,Close,Volume,Adj Close
2013-11-22,17.12,17.14,17.00,17.01,29789000,17.01
2013-11-21,17.01,17.15,16.98,17.09,33042300,17.09
2013-11-20,16.89,17.08,16.84,16.92,31077800,16.92
2013-11-19,16.99,17.03,16.82,16.87,26841800,16.87
2013-11-18,17.07,17.18,16.92,16.98,31231300,16.98
2013-11-15,17.13,17.15,17.00,17.07,33100600,17.07
2013-11-14,17.12,17.20,17.01,17.09,35559900,17.09
2013-11-13,16.66,17.10,16.64,17.10,39160000,17.10
2013-11-12,16.80,16.85,16.66,16.72,31432300,16.72
2013-11-11,16.87,17.14,16.73,16.89,29561200,16.89
2013-11-08,16.66,16.87,16.61,16.85,38987300,16.85
2013-11-07,16.91,16.92,16.53,16.55,47526900,16.55
2013-11-06,17.16,17.20,16.85,16.91,37052400,16.91
2013-11-05,16.89,17.14,16.83,17.09,43517500,17.09
2013-11-04,16.97,17.01,16.78,17.00,33974700,17.00
2013-11-01,17.24,17.24,16.76,16.89,52493000,16.89
2013-10-31,17.29,17.33,17.10,17.11,38742700,17.11
2013-10-30,17.62,17.64,17.25,17.34,39898500,17.34
2013-10-29,17.57,17.62,17.41,17.61,36931500,17.51
2013-10-28,17.66,17.72,17.52,17.57,37323000,17.47
2013-10-25,17.84,17.85,17.42,17.60,47515700,17.50
2013-10-24,18.01,18.02,17.64,17.76,71402500,17.66
2013-10-23,17.66,17.71,17.39,17.52,45496200,17.42
2013-10-22,17.55,17.68,17.44,17.60,30226500,17.50
2013-10-21,17.59,17.60,17.41,17.50,22159700,17.40
2013-10-18,17.52,17.55,17.43,17.53,23022100,17.43
2013-10-17,17.24,17.49,17.24,17.46,26889400,17.36
2013-10-16,17.08,17.29,17.03,17.29,33098300,17.19
2013-10-15,17.18,17.21,16.95,16.97,39294100,16.87
2013-10-14,16.93,17.25,16.92,17.18,31229600,17.08
2013-10-11,17.02,17.12,16.88,17.11,30814200,17.01
2013-10-10,16.87,17.00,16.83,16.93,46955700,16.83
2013-10-09,16.51,16.74,16.35,16.62,50838200,16.53
2013-10-08,16.83,16.85,16.45,16.50,45491300,16.41
2013-10-07,16.86,16.95,16.81,16.81,30339600,16.71
2013-10-04,16.97,17.14,16.94,17.09,24991600,16.99
2013-10-03,17.11,17.17,16.76,16.95,36628800,16.85
2013-10-02,17.09,17.22,16.95,17.21,29527300,17.11
2013-10-01,16.93,17.34,16.92,17.19,41817000,17.09
2013-09-30,16.77,17.01,16.69,16.87,36511300,16.77
2013-09-27,17.17,17.20,17.00,17.05,34022600,16.95
2013-09-26,17.26,17.38,17.12,17.27,32360900,17.17
2013-09-25,17.25,17.40,17.16,17.19,31630300,17.09
2013-09-24,17.23,17.40,17.08,17.26,33787600,17.16
2013-09-23,17.27,17.35,16.98,17.20,42733400,17.10
2013-09-20,17.71,17.71,17.30,17.39,47887900,17.29
2013-09-19,17.75,17.77,17.51,17.66,30748200,17.56
2013-09-18,17.36,17.77,17.34,17.63,45114100,17.53
2013-09-17,17.35,17.45,17.30,17.44,23176300,17.34
2013-09-16,17.53,17.59,17.30,17.35,26976600,17.25
2013-09-13,17.45,17.49,17.28,17.35,21572800,17.25
2013-09-12,17.55,17.56,17.31,17.39,26855400,17.29
2013-09-11,17.50,17.58,17.39,17.54,32902300,17.44
2013-09-10,17.49,17.68,17.37,17.55,45850700,17.45
2013-09-09,17.11,17.41,17.10,17.31,38517000,17.21
2013-09-06,17.33,17.34,16.82,17.00,61718600,16.90
2013-09-05,17.10,17.35,17.03,17.30,55979000,17.20
2013-09-04,16.38,17.02,16.37,16.91,69533900,16.81
2013-09-03,16.42,16.54,16.21,16.34,33457700,16.25
2013-08-30,16.58,16.59,16.12,16.19,40290600,16.10
2013-08-29,16.21,16.66,16.15,16.50,47714900,16.41
2013-08-28,15.86,16.15,15.71,16.02,37027600,15.93
2013-08-27,16.16,16.18,15.85,15.88,44005000,15.79
2013-08-26,16.44,16.62,16.38,16.41,24792600,16.32
2013-08-23,16.47,16.52,16.35,16.45,21547100,16.36
